分野,年,国・地域,シェア(%)
D3.情報デバイス,2015年,韓国,5.5
IoT,2019年,中国,23.3
IoT,2018年,中国,26.2
IoT,2017年,中国,21.1
IoT,2016年,中国,17.9
IoT,2015年,中国,17.3
D4.スマートシティ,2019年,中国,33.3
D4.スマートシティ,2018年,中国,38.4
D4.スマートシティ,2017年,中国,29.8
D4.スマートシティ,2016年,中国,23.6
D4.スマートシティ,2015年,中国,23.1
D5.ヘルスケア,2019年,中国,7.9
D5.ヘルスケア,2018年,中国,7.4
D5.ヘルスケア,2017年,中国,6.1
D5.ヘルスケア,2016年,中国,8.3
D5.ヘルスケア,2015年,中国,5.9
D6.スマート工場,2019年,中国,10.1
D6.スマート工場,2018年,中国,13.2
D6.スマート工場,2017年,中国,10.2
D6.スマート工場,2016年,中国,9.4
D6.スマート工場,2015年,中国,8.7
D7.コネクテッドカー,2019年,中国,40.5
D7.コネクテッドカー,2018年,中国,32
D7.コネクテッドカー,2017年,中国,25
D7.コネクテッドカー,2016年,中国,21
D7.コネクテッドカー,2015年,中国,13.2
D8.スマートエネルギー,2019年,中国,24.3
D8.スマートエネルギー,2018年,中国,21.2
D8.スマートエネルギー,2017年,中国,23.2
D8.スマートエネルギー,2016年,中国,23.8
D8.スマートエネルギー,2015年,中国,27.1
ICT,2019年,中国,15.6
ICT,2018年,中国,14.9
ICT,2017年,中国,14
ICT,2016年,中国,14.1
ICT,2015年,中国,13.5
O.サービス/アプリケーション,2019年,中国,10.6
O.サービス/アプリケーション,2018年,中国,10.9
O.サービス/アプリケーション,2017年,中国,10.5
O.サービス/アプリケーション,2016年,中国,10.8
O.サービス/アプリケーション,2015年,中国,11.1
A.クラウド/データセンター,2019年,中国,8
A.クラウド/データセンター,2018年,中国,7.5
A.クラウド/データセンター,2017年,中国,4.6
A.クラウド/データセンター,2016年,中国,4.7
A.クラウド/データセンター,2015年,中国,4.4
B1.固定系ネットワーク機器,2019年,中国,21.4
B1.固定系ネットワーク機器,2018年,中国,23.1
B1.固定系ネットワーク機器,2017年,中国,25
B1.固定系ネットワーク機器,2016年,中国,23.7
B1.固定系ネットワーク機器,2015年,中国,23.8
B2.移動系ネットワーク機器,2019年,中国,39.4
B2.移動系ネットワーク機器,2018年,中国,35.3
B2.移動系ネットワーク機器,2017年,中国,35.8
B2.移動系ネットワーク機器,2016年,中国,34.2
B2.移動系ネットワーク機器,2015年,中国,31.6
C.キーデバイス,2019年,中国,7.5
C.キーデバイス,2018年,中国,6.8
C.キーデバイス,2017年,中国,6.7
C.キーデバイス,2016年,中国,5.9
C.キーデバイス,2015年,中国,5
D1.情報端末,2019年,中国,29.8
D1.情報端末,2018年,中国,27.9
D1.情報端末,2017年,中国,23.7
D1.情報端末,2016年,中国,23.3
D1.情報端末,2015年,中国,20.4
D2.家電・OA機器,2019年,中国,30.4
D2.家電・OA機器,2018年,中国,28.1
D2.家電・OA機器,2017年,中国,30.5
D2.家電・OA機器,2016年,中国,31.2
D2.家電・OA機器,2015年,中国,25.4
D3.情報デバイス,2019年,中国,21.5
D3.情報デバイス,2018年,中国,19.2
D3.情報デバイス,2017年,中国,17
D3.情報デバイス,2016年,中国,12
D3.情報デバイス,2015年,中国,7.6
IoT,2019年,フランス,2
IoT,2018年,フランス,
IoT,2017年,フランス,
IoT,2016年,フランス,
IoT,2015年,フランス,
D4.スマートシティ,2019年,フランス,
D4.スマートシティ,2018年,フランス,
D4.スマートシティ,2017年,フランス,
D4.スマートシティ,2016年,フランス,
D4.スマートシティ,2015年,フランス,
D5.ヘルスケア,2019年,フランス,
D5.ヘルスケア,2018年,フランス,
D5.ヘルスケア,2017年,フランス,
D5.ヘルスケア,2016年,フランス,
D5.ヘルスケア,2015年,フランス,
D6.スマート工場,2019年,フランス,3.6
D6.スマート工場,2018年,フランス,
D6.スマート工場,2017年,フランス,
D6.スマート工場,2016年,フランス,
D6.スマート工場,2015年,フランス,
D7.コネクテッドカー,2019年,フランス,14
